Астраханская область,Сумма,"Астрахань, Кировская","Астрахань, Ленинская","Астрахань, Cоветская","Астрахань, Трусовская",Ахтубинская,Володарская,Енотаевская,Знаменская городская,Икрянинская,Камызякская,Красноярская,Лиманская,Наримановская,Приволжская,Харабалинская,Черноярская
"избирателей, включенных в список избирателей",736206,83108,106672,104569,80781,52058,34106,18924,21683,34612,35391,25595,23179,35142,37179,29285,13922
"изб.бюллетеней, полученных участковой избирательной комиссией",700193,74668,97850,101223,73467,52270,34929,19059,20079,35368,35962,24143,21950,28874,37431,28820,14100
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",432,0,0,424,0,0,0,0,0,0,0,0,0,0,0,8,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",417312,46913,58491,57689,52934,28271,17547,9696,14773,18044,20140,15509,11419,19753,25253,14050,6830
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",27074,1526,2281,2300,4927,1877,1932,600,475,2244,1683,746,1402,1131,1544,1811,595
"изб.бюллетеней, погашенных",255375,26229,37078,40810,15606,22122,15450,8763,4831,15080,14139,7888,9129,7990,10634,12951,6675
"изб.бюллетеней, в переносных ящиках для голосования",27487,1526,2281,2724,4927,1877,1932,600,475,2244,1682,729,1402,1130,1544,1819,595
"изб.бюллетеней, в стационарных ящиках для голосования",417239,46900,58490,57683,52934,28270,17547,9696,14767,18043,20140,15503,11414,19735,25237,14050,6830
"изб.бюллетеней, недействительных",4340,436,625,593,236,351,275,148,144,230,256,246,138,258,124,190,90
"изб.бюллетеней, действительных",440386,47990,60146,59814,57625,29796,19204,10148,15098,20057,21566,15986,12678,20607,26657,15679,7335
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2185,271,363,356,124,202,79,47,103,109,113,83,66,81,61,73,54
Грудинин,64047,5066,9096,8499,2986,6330,3441,2237,2078,3484,3190,4465,2911,3552,2114,2739,1859
Жириновский,19339,1743,2685,2696,1311,2360,565,631,1383,1188,906,553,833,855,363,764,503
Путин,342195,39158,45636,45790,52480,20041,14714,6972,10974,14717,16820,10414,8567,15540,23816,11790,4766
Собчак,5060,745,975,1019,265,279,182,77,246,214,207,197,118,237,101,133,65
Сурайкин,2823,221,422,407,175,329,109,81,123,135,170,162,100,161,79,96,53
Титов,2233,320,400,463,133,147,55,68,109,138,70,60,43,100,62,44,21
Явлинский,2504,466,569,584,151,108,59,35,82,72,90,52,40,81,61,40,14
