Брянская область,Сумма,Брасовская,"Брянск, Бежицкая","Брянск, Володарская","Брянск, Советская","Брянск, Фокинская",Брянская,Выгоничская,Гордеевская,Дубровская,Дятьковская,Жирятинская,Жуковская,Злынковская,Карачевская,Клетнянская,Климовская,Клинцовская,Клинцовская городская,Комаричская,Красногорская,Мглинская,Навлинская,Новозыбковская,Новозыбковская городская,Погарская,Почепская,Рогнединская,Севская,Сельцовская городская,Стародубская,Суземская,Суражская,Трубчевская,Унечская
"избирателей, включенных в список избирателей",978509,15237,128356,58172,102189,65707,48074,15425,7123,13623,57180,5102,27164,9022,25205,14556,21919,13057,53528,12944,10119,13506,18693,7772,32613,23314,29525,5150,12254,13936,29189,13524,17999,26281,31051
"изб.бюллетеней, полученных участковой избирательной комиссией",950080,15982,120600,54600,89305,60700,44500,14700,7143,13360,58000,5200,26345,8920,27200,14529,21890,12882,52400,13025,10147,14331,21300,7530,31750,24690,30800,5296,12600,13950,29500,14195,16790,24100,31820
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",692036,11228,89185,42551,64684,43866,34844,11545,6489,9300,38671,4144,18690,7273,18364,10364,15716,10242,45526,9580,9310,9580,13127,5310,21186,17097,17861,4227,8858,8789,22708,10132,13228,19074,19287
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",87912,1394,11483,4351,4623,4937,3906,1036,436,996,3820,511,2655,742,2234,2229,4307,1783,4193,1200,274,1809,2446,925,3395,3390,3345,540,1242,1326,3000,1449,1892,3197,2846
"изб.бюллетеней, погашенных",170132,3360,19932,7698,19998,11897,5750,2119,218,3064,15509,545,5000,905,6602,1936,1867,857,2681,2245,563,2942,5727,1295,7169,4203,9594,529,2500,3835,3792,2614,1670,1829,9687
"изб.бюллетеней, в переносных ящиках для голосования",87903,1394,11474,4351,4623,4937,3906,1036,436,996,3820,511,2655,742,2234,2229,4307,1783,4193,1200,274,1809,2446,925,3395,3390,3345,540,1242,1326,3000,1449,1892,3197,2846
"изб.бюллетеней, в стационарных ящиках для голосования",691575,11228,89009,42422,64672,43820,34844,11545,6489,9300,38650,4144,18689,7273,18364,10364,15716,10242,45487,9580,9278,9580,13127,5310,21186,17096,17861,4227,8858,8789,22708,10132,13228,19074,19283
"изб.бюллетеней, недействительных",7177,119,787,453,816,348,392,171,0,79,614,24,286,75,214,44,244,108,46,82,6,94,101,52,555,219,209,24,69,103,153,108,104,133,345
"изб.бюллетеней, действительных",772301,12503,99696,46320,68479,48409,38358,12410,6925,10217,41856,4631,21058,7940,20384,12549,19779,11917,49634,10698,9546,11295,15472,6183,24026,20267,20997,4743,10031,10012,25555,11473,15016,22138,21784
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4472,59,732,410,638,315,204,68,1,51,223,23,87,35,99,47,159,35,90,48,6,59,45,41,153,134,114,22,57,60,57,100,71,81,148
Грудинин,68375,1225,9412,4984,8516,3527,2548,1178,81,1217,4434,296,2116,487,2195,1231,1428,452,1345,1231,222,924,1050,598,2394,1683,2325,322,857,1023,1212,1841,987,2195,2839
Жириновский,43940,703,6549,3044,3618,3803,2568,691,124,743,2475,196,1236,282,1169,518,1472,529,1382,513,154,514,918,302,1358,1175,1483,272,539,587,947,792,787,922,1575
Путин,636087,10305,79361,36259,52224,39304,31962,10215,6711,8030,33803,4040,17194,6996,16480,10611,16316,10749,46341,8767,9131,9629,13234,5143,19455,16919,16668,4054,8383,8050,23095,8418,12933,18577,16730
Собчак,7463,61,1437,611,1585,500,303,92,3,53,334,29,152,44,165,36,133,79,149,45,13,61,80,41,304,138,194,27,78,102,98,120,101,109,186
Сурайкин,4265,83,720,305,481,280,218,57,0,54,279,17,118,43,136,55,110,35,85,51,6,51,67,24,145,91,102,27,71,79,63,99,63,116,134
Титов,4175,42,739,362,683,363,438,62,3,40,183,17,97,30,80,22,92,15,100,30,7,35,54,15,116,81,66,13,30,63,51,54,39,63,90
Явлинский,3524,25,746,345,734,317,117,47,2,29,125,13,58,23,60,29,69,23,142,13,7,22,24,19,101,46,45,6,16,48,32,49,35,75,82
