Воронежская область,Сумма,Аннинская,Бобровская,Богучарская,Борисоглебская,Бутурлиновская,Верхнемамонская,Верхнехавская,Воробьевская,"Воронеж, Железнодорожная","Воронеж, Коминтерновская","Воронеж, Левобережная","Воронеж, Ленинская","Воронеж, Советская","Воронеж, Центральная",Грибановская,Калачеевская,Каменская,Кантемировская,Каширская,Лискинская,Нижнедевицкая,Нововоронежская городская,Новоусманская,Новохоперская,Ольховатская,Острогожская,Павловская,Панинская,Петропавловская,Поворинская,Подгоренская,Рамонская,Репьевская,Россошанская,Cемилукская,Таловская,Терновская,Хохольская,Эртильская
"избирателей, включенных в список избирателей",1870895,35752,38823,29924,58942,37929,15230,19215,13498,114105,236276,149773,99362,163859,75440,25242,41725,13950,26763,19984,84238,15136,29447,61330,29353,17745,42842,41920,20552,14251,24250,19393,27799,13040,70422,52162,30354,16139,24517,20213
"изб.бюллетеней, полученных участковой избирательной комиссией",1795296,36440,39175,29372,57950,36528,15639,18950,13570,105700,222200,146750,90450,149450,62115,25998,42300,14000,26150,20355,82844,15646,28985,53000,30100,18140,42324,41660,21086,15050,25122,19961,25635,12150,69089,49530,29810,16600,24752,20720
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1059782,25550,26567,20004,31444,21048,10252,11143,8398,62525,129357,78851,55149,86499,41328,13567,21081,8496,14738,12357,53714,7318,19242,34019,19304,10302,27970,21275,14652,9342,13357,12385,17628,8178,37602,25482,16185,9196,13154,11123
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",148156,5440,5653,3326,4207,4184,2510,3539,2347,2718,4504,2612,2935,3863,2471,3395,4775,1881,3485,2928,9240,3350,502,4980,3458,3097,5210,4792,3773,2443,3315,3385,3109,2399,5339,4835,5369,2454,6919,3414
"изб.бюллетеней, погашенных",587358,5450,6955,6042,22299,11296,2877,4268,2825,40457,88339,65287,32366,59088,18316,9036,16444,3623,7927,5070,19890,4978,9241,14001,7338,4741,9144,15593,2661,3265,8450,4191,4898,1573,26148,19213,8256,4950,4679,6183
"изб.бюллетеней, в переносных ящиках для голосования",148109,5440,5653,3326,4207,4184,2510,3539,2347,2718,4503,2569,2934,3862,2471,3395,4775,1881,3485,2928,9240,3350,502,4980,3458,3096,5210,4792,3773,2443,3315,3385,3109,2399,5339,4835,5369,2454,6919,3414
"изб.бюллетеней, в стационарных ящиках для голосования",1059561,25548,26567,20000,31432,21044,10252,11143,8398,62522,129281,78846,55117,86479,41300,13567,21077,8496,14738,12357,53713,7318,19234,34014,19304,10298,27967,21275,14652,9342,13357,12383,17627,8178,37597,25481,16185,9196,13153,11123
"изб.бюллетеней, недействительных",9435,55,156,136,371,232,70,130,54,613,1177,783,498,850,395,148,216,113,154,102,341,66,193,339,75,131,188,224,58,53,134,55,124,61,431,299,127,94,96,93
"изб.бюллетеней, действительных",1198235,30933,32064,23190,35268,24996,12692,14552,10691,64627,132607,80632,57553,89491,43376,16814,25636,10264,18069,15183,62612,10602,19543,38655,22687,13263,32989,25843,18367,11732,16538,15713,20612,10516,42505,30017,21427,11556,19976,14444
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,7830,105,120,130,244,137,87,85,67,537,1061,604,514,721,440,94,190,46,135,50,320,44,138,221,103,79,153,192,60,50,58,71,84,59,312,195,109,52,79,84
Грудинин,136435,1376,1773,2500,5143,2972,1169,1534,1061,7816,17327,10245,6955,10986,6026,2334,3488,1728,2322,1606,5107,888,2326,3959,2068,1169,3322,4250,913,1350,2228,1293,2032,721,6494,3209,2303,1306,1745,1391
Жириновский,64905,1031,1197,1489,2235,1640,774,917,643,3298,6455,4463,2709,4906,2014,998,1658,703,1543,1427,3101,440,1242,2187,1012,852,1558,1908,698,496,788,735,748,529,3360,1762,1223,539,754,873
Путин,952642,28006,28472,18557,26748,19745,10413,11735,8722,50398,101419,61928,44385,68854,32157,13097,19724,7578,13686,11842,52953,9111,15222,31365,19154,10917,27332,18853,16463,9698,13173,13411,17338,9047,31247,24149,17403,9488,17022,11830
Собчак,13024,131,162,204,300,165,85,92,60,970,2427,1213,1151,1476,1149,101,157,53,115,95,353,38,204,312,106,92,187,196,68,39,97,63,154,56,305,257,96,51,143,101
Сурайкин,8561,120,123,160,265,223,80,97,67,501,1104,773,475,757,324,102,214,72,167,76,344,43,154,217,114,86,222,226,70,62,96,76,98,56,395,203,159,66,104,70
Титов,7277,80,97,89,169,66,47,52,39,541,1330,630,610,760,543,57,129,47,62,51,249,22,119,224,68,38,125,122,53,22,61,43,92,27,232,124,81,34,81,61
Явлинский,7561,84,120,61,164,48,37,40,32,566,1484,776,754,1031,723,31,76,37,39,36,185,16,138,170,62,30,90,96,42,15,37,21,66,21,160,118,53,20,48,34
