Кабардино-Балкарская Республика,Сумма,Баксанская,Баксанская городская,Зольская,Лескенская,Майская,Нальчикская городская,Прохладненская,Прохладненская городская,Терская,Урванская,Чегемская,Черекская,Эльбрусская
"избирателей, включенных в список избирателей",528431,39883,28519,28458,17936,25571,161277,31510,38446,35244,43329,39215,17995,21048
"изб.бюллетеней, полученных участковой избирательной комиссией",534343,40590,28622,29068,18427,26805,158700,32939,38516,36282,44179,40029,18350,21836
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",467655,36880,26016,23755,16276,22812,138104,28805,34084,29983,39518,36087,16598,18737
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",17453,215,45,2734,444,1057,6673,491,974,2800,556,491,372,601
"изб.бюллетеней, погашенных",49232,3495,2561,2579,1707,2936,13920,3643,3458,3499,4105,3451,1380,2498
"изб.бюллетеней, в переносных ящиках для голосования",17453,215,45,2734,444,1057,6673,491,974,2800,556,491,372,601
"изб.бюллетеней, в стационарных ящиках для голосования",467107,36836,26016,23711,16256,22786,137928,28730,34055,29949,39518,36064,16550,18708
"изб.бюллетеней, недействительных",628,62,25,49,41,34,186,89,35,4,0,34,34,35
"изб.бюллетеней, действительных",483932,36989,26036,26396,16659,23809,144415,29132,34994,32745,40074,36521,16888,19274
"изб.бюллетеней, утраченных",5,0,0,0,0,0,5,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,2,0,0,0,0,0,0,0
Бабурин,1222,84,56,86,42,67,353,97,76,83,78,67,69,64
Грудинин,20133,1316,1085,1017,669,1208,6853,1214,1357,1275,1522,1309,628,680
Жириновский,5006,367,219,261,160,233,1667,281,436,312,367,356,160,187
Путин,452480,34859,24415,24710,15622,22035,134022,27163,32810,30742,37758,34457,15793,18094
Собчак,1121,79,51,76,34,55,353,86,63,71,67,63,61,62
Сурайкин,1141,85,52,77,38,63,290,101,74,77,86,79,58,61
Титов,1658,117,101,86,52,80,551,96,109,106,123,121,57,59
Явлинский,1171,82,57,83,42,68,326,94,69,79,73,69,62,67
