Курская область,Сумма,Беловская,Большесолдатская,Глушковская,Горшеченская,Дмитриевская,Железногорская городская,Золотухинская,Касторенская,Конышевская,Кореневская,"Курск, Железнодорожная","Курск, Сеймская","Курск, Центральная",Курская,Курчатовская,Льговская,Мантуровская,Медвенская,Обоянская,Октябрьская,Поныровская,Пристенская,Рыльская,Советская,Солнцевская,Cуджанская,Тимская,Фатежская,Хомутовская,Черемисиновская,Щигровская,Железногорская,Курчатовская городская,Льговская городская,Щигровская городская
"избирателей, включенных в список избирателей",923309,14489,9395,18517,14287,13417,82490,17892,14892,8371,14324,54232,115257,181630,45404,13776,11243,10706,13398,24592,18476,9209,13289,26315,15489,11816,22352,9395,15766,9060,8317,9413,12841,33463,15709,14087
"изб.бюллетеней, полученных участковой избирательной комиссией",827179,13705,7759,19225,13616,12035,68737,15730,12222,8430,13220,49931,106669,164304,40330,11215,10463,9840,12935,22837,16560,8070,11324,21448,13479,10406,20397,7900,14590,7301,7975,8284,11492,29400,13250,12100
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",526134,9125,5353,13724,8841,8511,48769,9355,7409,5095,8436,29863,63926,107187,24117,7749,5258,5816,7554,12253,10189,5543,7291,14865,7950,6723,13145,4653,8200,4996,4480,4970,6720,21849,8652,7567
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",69220,1358,1501,2243,3116,1433,1487,2773,1872,1042,1126,1785,2889,4048,5113,1715,1754,1450,2833,2480,2664,1375,2397,1882,2375,2025,2162,1603,2874,1089,1562,1784,1147,512,835,916
"изб.бюллетеней, погашенных",231825,3222,905,3258,1659,2091,18481,3602,2941,2293,3658,18283,39854,53069,11100,1751,3451,2574,2548,8104,3707,1152,1636,4701,3154,1658,5090,1644,3516,1216,1933,1530,3625,7039,3763,3617
"изб.бюллетеней, в переносных ящиках для голосования",69213,1358,1501,2243,3116,1433,1487,2773,1872,1042,1126,1782,2889,4044,5113,1715,1754,1450,2833,2480,2664,1375,2397,1882,2375,2025,2162,1603,2874,1089,1562,1784,1147,512,835,916
"изб.бюллетеней, в стационарных ящиках для голосования",526060,9125,5353,13724,8841,8511,48757,9355,7409,5094,8436,29858,63918,107158,24112,7747,5258,5815,7553,12249,10189,5543,7291,14864,7950,6723,13145,4651,8200,4996,4480,4970,6720,21846,8652,7567
"изб.бюллетеней, недействительных",5207,86,58,71,46,76,566,102,73,61,101,280,532,951,254,85,64,67,72,85,74,73,79,176,87,75,173,55,89,48,46,55,68,279,97,103
"изб.бюллетеней, действительных",590066,10397,6796,15896,11911,9868,49678,12026,9208,6075,9461,31360,66275,110251,28971,9377,6948,7198,10314,14644,12779,6845,9609,16570,10238,8673,15134,6199,10985,6037,5996,6699,7799,22079,9390,8380
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3421,44,31,49,52,43,292,64,56,17,49,231,436,840,151,47,37,40,42,67,52,21,34,76,60,48,88,32,43,25,33,27,36,158,58,42
Грудинин,56948,785,400,828,554,1061,5568,711,795,475,857,3308,6503,13035,2304,880,582,693,851,1209,957,449,682,1710,746,652,1378,758,994,635,454,531,668,2762,1083,1090
Жириновский,33326,543,346,565,425,496,3280,637,536,365,835,1810,3905,5619,1490,575,399,343,516,780,606,417,465,1046,692,422,962,333,665,411,390,451,457,1381,639,524
Путин,482257,8897,5924,14324,10752,8149,39223,10449,7657,5139,7556,25010,53427,86511,24442,7717,5838,6023,8783,12341,10958,5842,8308,13402,8575,7437,12453,4988,9134,4894,4998,5587,6501,17040,7419,6559
Собчак,5631,50,39,48,44,43,502,60,49,33,67,411,765,1850,253,67,44,44,45,89,75,41,49,123,53,47,102,32,46,35,45,34,39,275,63,69
Сурайкин,3316,51,31,31,48,41,355,58,70,18,50,199,423,670,123,37,32,25,38,81,65,41,38,104,61,36,78,36,51,21,48,45,55,139,65,52
Титов,2640,16,18,34,19,24,261,24,19,14,26,201,367,820,113,31,9,13,26,51,33,16,27,56,32,16,44,10,32,10,20,21,25,148,40,24
Явлинский,2527,11,7,17,17,11,197,23,26,14,21,190,449,906,95,23,7,17,13,26,33,18,6,53,19,15,29,10,20,6,8,3,18,176,23,20
