Новгородская область,Сумма,Батецкая,Боровичcкая,Валдайская,Волотовская,Демянская,Крестецкая,Любытинская,Маловишерская,Маревская,Мошенская,Новгородcкая городская,Новгородская,Окуловская,Парфинская,Пестовская,Поддорская,Солецкая,Старорусская,Хвойнинская,Холмская,Чудовская,Шимская
"избирателей, включенных в список избирателей",502905,4742,55154,20961,3578,10723,10710,7439,14104,3516,5300,178268,47300,21292,10065,16298,3412,11021,36698,10878,4644,17942,8860
"изб.бюллетеней, полученных участковой избирательной комиссией",479754,4540,54320,19000,3755,10390,9990,6880,13910,3420,5000,165500,46710,21250,8000,16395,3385,10725,34900,11284,4590,17120,8690
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",266259,2187,28340,11623,1910,5244,5613,3516,6531,1685,2909,101639,23800,10024,5092,8265,1642,5510,18537,6489,2214,8935,4554
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",21925,702,1944,1160,428,646,723,1038,806,403,644,2102,1954,1129,881,981,317,831,2465,850,418,774,729
"изб.бюллетеней, погашенных",191569,1651,24036,6217,1417,4500,3654,2326,6573,1332,1447,61759,20956,10096,2027,7149,1426,4384,13898,3945,1958,7411,3407
"изб.бюллетеней, в переносных ящиках для голосования",21925,702,1944,1160,428,646,723,1038,806,403,644,2102,1954,1129,881,981,317,831,2465,850,418,774,729
"изб.бюллетеней, в стационарных ящиках для голосования",266137,2187,28336,11623,1910,5243,5612,3516,6530,1685,2906,101536,23795,10024,5090,8265,1642,5510,18537,6488,2214,8935,4553
"изб.бюллетеней, недействительных",3448,31,296,154,25,62,84,50,103,56,53,1298,308,173,78,84,24,69,218,89,25,110,58
"изб.бюллетеней, действительных",284614,2858,29984,12629,2313,5827,6251,4504,7233,2032,3497,102340,25441,10980,5893,9162,1935,6272,20784,7249,2607,9599,5224
"изб.бюллетеней, утраченных",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2345,20,245,91,11,49,35,42,40,17,31,930,204,93,39,77,15,47,183,55,15,71,35
Грудинин,36661,251,4976,1374,226,677,560,619,783,238,384,14408,2896,1210,600,1658,159,500,2367,838,314,1100,523
Жириновский,22000,304,2288,879,256,464,653,415,556,217,327,6981,2075,942,538,836,137,556,1381,713,310,722,450
Путин,209286,2194,21358,9788,1763,4445,4783,3276,5607,1490,2630,72314,19152,8315,4529,6272,1575,4985,16131,5404,1875,7325,4075
Собчак,5303,40,341,204,20,71,82,52,102,40,42,2834,425,146,65,147,16,65,246,95,44,164,62
Сурайкин,2420,22,237,100,19,51,51,39,61,12,43,948,213,97,48,52,14,39,199,54,21,76,24
Титов,2456,12,216,122,10,28,45,30,42,10,25,1202,195,81,29,63,9,42,130,54,8,71,32
Явлинский,4143,15,323,71,8,42,42,31,42,8,15,2723,281,96,45,57,10,38,147,36,20,70,23
