Республика Ингушетия,Сумма,Джейрахская,Карабулакская городская,Магасская городская,Малгобекская городская,Малгобекская,Назрановская городская,Назрановская,Сунженская,Сунженская городская
"избирателей, включенных в список избирателей",219305,2770,15091,4053,25100,32036,44047,53870,24017,18321
"изб.бюллетеней, полученных участковой избирательной комиссией",209693,2528,13400,3862,24215,30082,44397,50926,21983,18300
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",544,544,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",177335,1900,10684,2700,20109,25877,34983,44568,20896,15618
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",1862,47,246,327,87,126,388,134,425,82
"изб.бюллетеней, погашенных",29952,37,2470,835,4019,4079,9026,6224,662,2600
"изб.бюллетеней, в переносных ящиках для голосования",2406,591,246,327,87,126,388,134,425,82
"изб.бюллетеней, в стационарных ящиках для голосования",177335,1900,10684,2700,20109,25877,34983,44568,20896,15618
"изб.бюллетеней, недействительных",710,12,110,16,45,31,181,71,213,31
"изб.бюллетеней, действительных",179031,2479,10820,3011,20151,25972,35190,44631,21108,15669
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0
Бабурин,1580,18,101,122,153,76,316,401,225,168
Грудинин,10187,227,816,418,1228,1262,2126,2320,814,976
Жириновский,6570,73,335,73,934,959,1626,1568,602,400
Путин,149488,2062,8704,2159,16597,21864,29301,37369,18351,13081
Собчак,2974,28,188,116,245,496,772,412,372,345
Сурайкин,677,8,24,20,71,145,80,145,85,99
Титов,3304,30,202,30,290,527,605,962,353,305
Явлинский,4251,33,450,73,633,643,364,1454,306,295
