Республика Карелия,Сумма,Беломорская,Калевальская,Кемская,Кондопожская,Костомукшская городская,Лахденпохская,Лоухская,Медвежьегорская,Муезерская,Олонецкая,Петрозаводская городская №1,Петрозаводская городская №2,Питкярантская,Прионежская,Пряжинская,Пудожская,Сегежская,Сортавальская городская,Суоярвская
"избирателей, включенных в список избирателей",519667,15491,6525,13722,32543,23331,11659,12227,25843,10376,19312,110700,99388,17164,20018,12625,17970,30890,25115,14768
"изб.бюллетеней, полученных участковой избирательной комиссией",501054,14100,5620,13920,26400,24684,11005,11425,26580,10600,20000,106540,93120,16000,19860,11470,18550,31530,25650,14000
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",257,0,23,40,0,0,0,37,30,0,0,0,0,31,0,0,10,55,31,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",282899,7270,3352,7185,18227,14074,6292,6164,12428,5017,9899,64312,58710,8388,10007,6236,7802,16221,14211,7104
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",14071,660,466,388,964,243,381,385,1267,442,896,1467,2219,537,457,682,526,825,671,595
"изб.бюллетеней, погашенных",203821,6170,1779,6307,7207,10367,4332,4839,12855,5141,9205,40757,32191,7044,9396,4552,10212,14429,10737,6301
"изб.бюллетеней, в переносных ящиках для голосования",14327,660,489,428,964,243,381,422,1297,442,896,1466,2219,568,457,682,536,880,702,595
"изб.бюллетеней, в стационарных ящиках для голосования",282638,7270,3351,7185,18222,14062,6292,6163,12415,5015,9825,64213,58675,8387,10005,6236,7795,16220,14203,7104
"изб.бюллетеней, недействительных",3656,95,63,123,315,140,85,95,182,55,141,704,667,105,166,94,95,248,175,108
"изб.бюллетеней, действительных",293309,7835,3777,7490,18871,14165,6588,6490,13530,5402,10580,64975,60227,8850,10296,6824,8236,16852,14730,7591
"изб.бюллетеней, утраченных",6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2343,47,33,62,160,84,50,41,101,59,78,522,547,68,86,40,64,124,101,76
Грудинин,33693,777,404,677,2319,1259,586,664,1685,478,1064,8130,7695,1218,1049,692,806,1759,1439,992
Жириновский,23254,793,399,751,1877,982,495,655,1357,498,944,4329,3851,600,937,583,733,1531,1199,740
Путин,216899,5866,2802,5700,13595,11124,5196,4875,9845,4165,8003,46972,43338,6610,7761,5247,6334,12695,11327,5444
Собчак,6777,128,63,110,343,318,121,92,187,73,168,1988,1864,163,205,101,100,304,296,153
Сурайкин,1927,48,24,55,118,95,42,56,99,40,63,425,361,49,51,38,65,141,87,70
Титов,3201,96,24,63,194,140,54,63,120,32,86,854,896,56,84,57,61,142,127,52
Явлинский,5215,80,28,72,265,163,44,44,136,57,174,1755,1675,86,123,66,73,156,154,64
