Республика Коми,Сумма,Воркутинская городская,Вуктыльская городская,Ижемская,Интинская городская,Княжпогостская,Койгородская,Корткеросская,Печорская городская,Прилузская,Сосногорская городская,Сыктывдинская,Сыктывкарская городская,Сысольская,Троицко-Печорская,Удорская,Усинская городская,Усть-Вымская,Усть-Куломская,Усть-Цилемская,Ухтинская городская,"Сыктывкар, Эжвинская"
"избирателей, включенных в список избирателей",674071,63816,10787,14757,25638,16271,6935,17111,44994,16743,35395,19268,149454,11340,11074,13073,34321,22279,21680,10558,87861,40716
"изб.бюллетеней, полученных участковой избирательной комиссией",599737,34542,8880,13670,20940,14160,6900,17069,44340,15670,35168,19450,134700,10663,10706,11770,33218,21960,21500,10060,78971,35400
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",6602,268,45,177,404,700,60,328,122,337,304,276,0,43,86,237,1562,0,1034,460,159,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",384002,30774,6236,8286,12190,8846,4436,8878,24909,10781,20186,10921,88776,6748,5696,6917,19465,14602,10974,5856,52913,25612
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",16512,659,339,606,528,558,377,585,1048,1040,673,724,2880,557,507,493,316,1121,1176,366,1246,713
"изб.бюллетеней, погашенных",192619,2841,2260,4601,7818,4056,2027,7278,18261,3512,14005,7528,43044,3315,4417,4123,11875,6237,8316,3378,24652,9075
"изб.бюллетеней, в переносных ящиках для голосования",23110,924,383,783,932,1258,437,913,1170,1377,977,1000,2880,600,593,730,1878,1121,2210,826,1405,713
"изб.бюллетеней, в стационарных ящиках для голосования",383805,30725,6224,8286,12186,8846,4434,8877,24907,10780,20182,10919,88692,6748,5694,6917,19453,14602,10973,5856,52894,25610
"изб.бюллетеней, недействительных",5908,308,123,116,207,177,66,170,401,184,368,157,1526,87,81,78,292,167,168,51,884,297
"изб.бюллетеней, действительных",401007,31341,6484,8953,12911,9927,4805,9620,25676,11973,20791,11762,90046,7261,6206,7569,21039,15556,13015,6631,53415,26026
"изб.бюллетеней, утраченных",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3234,211,53,63,108,86,30,69,204,64,170,107,908,57,47,52,113,139,92,44,419,198
Грудинин,46094,3109,799,1203,1694,1363,370,1088,2717,807,2682,1155,11489,659,689,906,2406,1894,1182,638,6344,2900
Жириновский,41680,3504,760,756,1431,1423,591,955,2923,1354,2322,1183,8159,863,723,874,1975,1909,1376,877,5114,2608
Путин,290716,23276,4642,6653,9097,6664,3667,7202,18786,9347,14740,8818,63097,5414,4514,5538,15800,11074,9905,4898,38607,18977
Собчак,8179,531,110,99,223,165,60,145,384,159,394,228,2876,115,94,82,290,247,179,65,1151,582
Сурайкин,3215,215,38,75,117,69,37,67,218,95,195,87,710,66,67,50,152,98,124,42,470,223
Титов,3809,200,53,43,103,86,27,57,208,79,142,106,1294,48,38,36,146,103,92,42,638,268
Явлинский,4080,295,29,61,138,71,23,37,236,68,146,78,1513,39,34,31,157,92,65,25,672,270
