Республика Марий Эл,Сумма,Волжская городская,Звениговская,Йошкар-Олинская городская № 1,Килемарская,Козьмодемьянская городская,Куженерская,Мари-Турекская,Медведевская,Моркинская,Новоторъяльская,Оршанская,Параньгинская,Сернурская,Советская,Юринская,Волжская,Горномарийская,Йошкар-Олинская городская № 2
"избирателей, включенных в список избирателей",536655,43995,33819,103632,9369,17105,11402,16850,53887,23542,11982,11340,11680,17340,22245,6288,16364,19163,106652
"изб.бюллетеней, полученных участковой избирательной комиссией",509737,43200,34180,88864,9850,16850,11570,17500,50200,24250,12350,11250,12520,18050,22900,6730,17300,19500,92673
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",325463,27218,19545,64876,5218,10611,6321,8772,34388,13389,6927,6978,7418,10109,13116,3695,11649,10152,65081
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",31048,1142,2119,1687,1269,671,1329,2540,3553,1905,1486,808,1279,2224,1751,1171,1505,2971,1638
"изб.бюллетеней, погашенных",153226,14840,12516,22301,3363,5568,3920,6188,12259,8956,3937,3464,3823,5717,8033,1864,4146,6377,25954
"изб.бюллетеней, в переносных ящиках для голосования",31045,1142,2119,1686,1269,671,1329,2540,3553,1905,1486,808,1279,2223,1751,1171,1505,2971,1637
"изб.бюллетеней, в стационарных ящиках для голосования",325349,27218,19545,64821,5218,10611,6321,8772,34386,13387,6927,6978,7417,10109,13116,3695,11649,10152,65027
"изб.бюллетеней, недействительных",3146,309,234,621,61,108,38,52,350,118,47,71,67,60,86,27,174,89,634
"изб.бюллетеней, действительных",353248,28051,21430,65886,6426,11174,7612,11260,37589,15174,8366,7715,8629,12272,14781,4839,12980,13034,66030
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2013,145,138,489,30,64,27,47,182,67,48,29,39,55,58,16,57,61,461
Грудинин,51873,4984,3574,9570,695,1439,1012,2390,5331,2223,991,878,1428,1833,1905,550,2229,1424,9417
Жириновский,24516,1548,1445,4732,517,818,442,579,3061,981,692,568,325,843,1187,288,674,989,4827
Путин,263725,20456,15783,47991,5043,8520,6021,8083,27865,11649,6491,6087,6726,9337,11307,3908,9790,10294,48374
Собчак,4821,369,208,1372,60,120,37,72,495,114,57,60,49,67,155,30,85,114,1357
Сурайкин,2028,185,128,412,38,71,38,47,218,60,38,45,28,63,82,20,71,72,412
Титов,2128,149,79,618,27,82,15,25,248,53,32,31,19,41,49,11,32,49,568
Явлинский,2144,215,75,702,16,60,20,17,189,27,17,17,15,33,38,16,42,31,614
