Республика Мордовия,Сумма,Ардатовская,Атюрьевская,Атяшевская,Большеберезниковская,Большеигнатовская,Дубенская,Ельниковская,Зубово-Полянская,Инсарская,Ичалковская,Кадошкинская,Ковылкинская,Кочкуровская,Краснослободская,Лямбирская,Ромодановская,Рузаевская,Ленинская,Октябрьская,Пролетарская,Старошайговская,Темниковская,Теньгушевская,Торбеевская,Чамзинская
"избирателей, включенных в список избирателей",611857,19566,7777,14990,9530,5684,9889,8224,30421,10109,14222,6067,29701,7574,18477,24469,14263,48885,82752,107775,73494,9397,12056,7700,14662,24173
"изб.бюллетеней, полученных участковой избирательной комиссией",586592,19639,7981,14765,9410,5834,9545,8365,30083,10541,13472,5756,29867,7712,17690,24321,14235,44934,74600,100640,69674,9450,12087,7924,14559,23508
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",439990,15088,6835,12940,7626,4639,8309,6255,25106,8397,11345,4526,25373,6301,15216,19571,11907,31953,51341,65130,46510,8027,9996,6646,12422,18531
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",36384,1240,206,1014,628,405,908,575,1768,981,1323,324,1646,497,1484,2059,1036,3759,4521,4796,2737,637,1016,328,881,1615
"изб.бюллетеней, погашенных",110214,3311,940,811,1156,790,328,1535,3209,1163,804,906,2848,914,990,2691,1292,9220,18737,30714,20427,785,1075,950,1256,3362
"изб.бюллетеней, в переносных ящиках для голосования",36384,1240,206,1014,628,405,908,575,1768,981,1323,324,1646,497,1484,2059,1036,3759,4521,4796,2737,637,1016,328,881,1615
"изб.бюллетеней, в стационарных ящиках для голосования",439864,15086,6835,12938,7626,4635,8309,6255,25105,8397,11344,4525,25368,6300,15216,19571,11907,31949,51333,65085,46484,8027,9996,6644,12421,18508
"изб.бюллетеней, недействительных",3549,93,54,38,24,17,7,34,35,38,14,22,15,18,73,119,127,409,639,945,602,36,18,14,29,129
"изб.бюллетеней, действительных",472699,16233,6987,13914,8230,5023,9210,6796,26838,9340,12653,4827,26999,6779,16627,21511,12816,35299,55215,68936,48619,8628,10994,6958,13273,19994
"изб.бюллетеней, утраченных",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1863,77,8,28,22,19,10,14,66,12,23,12,103,21,26,58,24,143,374,387,287,7,13,12,25,92
Грудинин,33894,1403,351,433,418,228,205,620,807,979,431,232,608,276,598,1077,847,4092,5867,7270,4826,289,444,228,381,984
Жириновский,20758,692,137,314,267,121,136,169,714,91,383,267,675,237,335,711,437,2065,3183,4691,3427,135,302,130,417,722
Путин,406480,13824,6410,13027,7406,4585,8820,5923,24963,8228,11673,4267,25236,6188,15535,19370,11386,28181,43646,54320,38485,8148,10146,6544,12329,17840
Собчак,3561,77,23,40,41,19,14,18,80,13,42,14,104,19,40,103,44,295,869,923,559,23,24,10,42,125
Сурайкин,2781,88,46,32,46,21,14,32,102,10,57,28,106,20,59,85,40,269,458,615,447,11,35,16,39,105
Титов,1636,32,6,19,21,12,6,9,59,4,23,3,89,12,25,47,17,110,367,392,279,6,18,8,20,52
Явлинский,1726,40,6,21,9,18,5,11,47,3,21,4,78,6,9,60,21,144,451,338,309,9,12,10,20,74
