Тульская область,Сумма,Алексинская,Арсеньевская,Белевская,Богородицкая,Веневская,Воловская,Донская,Дубенская,Ефремовская,Заокская,Каменская,Кимовская,Киреевская,Куркинская,Ленинская,Новомосковская,Одоевская,Плавская,Суворовская,Тепло-Огаревская,"Тула, Зареченская","Тула, Привокзальная","Тула, Пролетарская","Тула, Советская","Тула, Центральная",Узловская,Чернская,Щекинская,Ясногорская
"избирателей, включенных в список избирателей",1194044,58389,9208,16430,39258,25033,10527,45173,10642,48179,15793,6871,32775,56764,8123,52881,113647,9619,19452,27678,9896,74289,65692,121873,57069,74752,64541,14768,80514,24208
"изб.бюллетеней, полученных участковой избирательной комиссией",1050581,50040,7090,13800,32798,20750,9350,45250,9290,41282,13200,6490,33100,52076,8050,44288,89890,7457,19560,27670,8935,62500,54100,113350,48500,67100,58580,13335,74050,18700
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",730170,39348,4996,9560,21653,14548,6140,27496,7273,27603,8922,4421,19010,30726,4934,29600,71218,5359,12998,19528,5934,46541,40116,77353,37223,47128,38091,9099,49031,14321
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",89645,3834,915,2058,5753,2229,1773,2813,1064,3814,1218,1369,3791,5121,1908,5652,7764,1354,2000,4053,1331,2846,2605,3748,2176,3625,4331,1904,6487,2109
"изб.бюллетеней, погашенных",230766,6858,1179,2182,5392,3973,1437,14941,953,9865,3060,700,10299,16229,1208,9036,10908,744,4562,4089,1670,13113,11379,32249,9101,16347,16158,2332,18532,2270
"изб.бюллетеней, в переносных ящиках для голосования",89612,3834,915,2058,5753,2229,1773,2813,1064,3814,1218,1369,3791,5121,1908,5652,7764,1354,2000,4053,1331,2846,2604,3747,2174,3596,4331,1904,6487,2109
"изб.бюллетеней, в стационарных ящиках для голосования",728766,39348,4994,9560,21641,13542,6140,27496,7270,27600,8920,4421,19010,30726,4934,29596,71212,5359,12998,19524,5934,46529,40103,77328,37204,47097,38020,9099,48841,14320
"изб.бюллетеней, недействительных",8333,311,62,95,253,169,66,269,74,330,117,30,312,398,57,316,821,76,92,185,54,536,475,936,520,628,382,67,537,165
"изб.бюллетеней, действительных",810045,42871,5847,11523,27141,15602,7847,30040,8260,31084,10021,5760,22489,35449,6785,34932,78155,6637,14906,23392,7211,48839,42232,80139,38858,50065,41969,10936,54791,16264
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,5692,252,40,81,190,107,44,173,59,175,52,43,114,254,45,235,501,41,67,127,39,432,354,695,366,449,248,61,325,123
Грудинин,77552,3917,764,1313,2790,2006,608,2946,736,3675,1172,517,2207,3520,655,2641,7886,839,1113,2061,697,4361,3915,7080,4122,4607,4013,1095,4716,1580
Жириновский,48748,1926,437,751,1473,1057,472,1912,456,2018,602,375,1289,2381,469,2262,4389,473,806,1166,395,2953,2503,5060,2118,2861,2628,716,3756,1044
Путин,648117,35652,4469,9119,22005,12024,6526,24255,6819,24354,7814,4653,18374,28257,5453,28613,62778,5115,12617,19494,5945,38563,33341,63140,29481,39302,33826,8839,44235,13054
Собчак,11689,408,51,79,251,157,70,259,84,309,146,64,176,367,57,515,1073,61,111,192,55,1004,858,1685,1106,1225,455,70,631,170
Сурайкин,5379,271,53,83,168,102,60,181,41,251,70,47,166,248,55,243,441,46,92,139,41,325,268,529,277,326,296,81,365,114
Титов,5331,198,19,57,137,62,29,151,23,154,63,23,83,207,30,193,467,38,57,107,20,449,359,748,460,464,231,32,370,100
Явлинский,7537,247,14,40,127,87,38,163,42,148,102,38,80,215,21,230,620,24,43,106,19,752,634,1202,928,831,272,42,393,79
