Удмуртская Республика,Сумма,Алнашская,Балезинская,Вавожская,Воткинская,Воткинская городская,Глазовская,Глазовская городская,Граховская,Дебесская,Завьяловская,Игринская,"Ижевск, Индустриальная","Ижевск, Ленинская","Ижевск, Октябрьская","Ижевск, Первомайская","Ижевск, Устиновская",Камбарская,Каракулинская,Кезская,Кизнерская,Киясовская,Красногорская,Малопургинская,Можгинская,Можгинская городская,Сарапульская,Сарапульская городская,Селтинская,Сюмсинская,Увинская,Шарканская,Юкаменская,Якшур-Бодьинская,Ярская
"избирателей, включенных в список избирателей",1185303,16086,26425,12822,18411,72368,14571,70019,7578,9892,58591,30716,92855,95474,104186,98320,105510,14321,9548,17871,16769,8197,8199,24920,20089,35562,18589,73914,9465,10488,30254,15842,7895,17435,12121
"изб.бюллетеней, полученных участковой избирательной комиссией",1134546,16050,27050,13150,16050,70600,14930,69482,7744,10407,55500,31510,87450,86650,98000,89720,96100,11200,9700,17930,16680,8325,7730,25173,20350,35300,18370,73100,9400,10330,26620,16000,7760,17385,12800
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",716357,11609,16119,7679,12048,44813,9017,42675,5003,6783,34686,18259,54594,53907,63602,58030,63368,8184,5620,10262,10575,5387,5053,16809,12978,20925,11371,43457,5822,5876,18513,10191,5510,10723,6909
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",33586,799,1175,513,1002,1239,1162,1042,494,423,1360,1334,1328,1155,1349,1363,1308,656,848,1252,1331,557,577,1109,1323,1002,921,1356,525,648,1327,1112,641,638,717
"изб.бюллетеней, погашенных",384600,3642,9756,4958,3000,24548,4751,25765,2247,3201,19451,11917,31528,31588,33049,30327,31424,2360,3232,6416,4774,2381,2100,7255,6049,13373,6078,28287,3053,3806,6780,4697,1609,6024,5174
"изб.бюллетеней, в переносных ящиках для голосования",33588,799,1175,513,1002,1239,1162,1042,494,423,1361,1334,1328,1155,1349,1363,1308,656,848,1252,1331,557,577,1109,1323,1003,921,1356,525,648,1327,1112,641,638,717
"изб.бюллетеней, в стационарных ящиках для голосования",716290,11609,16118,7679,12047,44803,9017,42661,5002,6783,34687,18257,54588,53905,63597,58018,63363,8184,5620,10262,10575,5386,5053,16809,12977,20924,11370,43454,5822,5876,18513,10191,5510,10722,6908
"изб.бюллетеней, недействительных",9308,150,212,81,162,564,121,731,68,65,447,227,740,648,755,745,743,138,72,138,130,60,74,149,159,318,162,605,84,85,229,138,88,111,109
"изб.бюллетеней, действительных",740570,12258,17081,8111,12887,45478,10058,42972,5428,7141,35601,19364,55176,54412,64191,58636,63928,8702,6396,11376,11776,5883,5556,17769,14141,21609,12129,44205,6263,6439,19611,11165,6063,11249,7516
"изб.бюллетеней, утраченных",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4958,64,118,43,74,283,74,297,29,44,220,88,405,386,529,489,550,72,32,60,60,34,33,73,66,139,56,301,32,34,122,40,19,58,34
Грудинин,84981,1592,1458,938,1362,3990,1086,6568,695,805,3916,1624,6313,6276,7692,6989,6995,1544,874,1264,1414,597,616,1860,1529,3955,1111,5583,528,875,2047,720,388,1131,646
Жириновский,50859,632,1441,396,829,2763,818,3241,434,584,2452,1402,3664,3973,3654,3824,4222,699,486,846,834,415,464,1030,1056,1542,761,3302,520,571,1325,690,471,845,673
Путин,571623,9740,13624,6626,10323,37072,7830,31027,4186,5558,27741,15789,41749,41512,48211,44073,48952,6138,4891,8959,9221,4696,4289,14428,11217,15295,9911,33568,5065,4821,15657,9471,5074,8932,5977
Собчак,11518,96,161,48,116,503,105,791,35,47,542,181,1348,910,1805,1377,1360,87,51,89,100,44,49,156,98,250,91,552,42,36,140,93,37,105,73
Сурайкин,5301,80,129,26,79,294,69,340,20,44,219,131,408,442,496,457,471,66,33,83,68,48,53,91,79,170,97,355,36,57,134,67,39,66,54
Титов,6188,33,91,21,72,326,43,358,19,42,292,87,670,518,917,746,746,57,17,56,53,33,34,71,61,149,53,299,25,26,104,54,15,65,35
Явлинский,5142,21,59,13,32,247,33,350,10,17,219,62,619,395,887,681,632,39,12,19,26,16,18,60,35,109,49,245,15,19,82,30,20,47,24
