Ханты-Мансийский автономный округ - Югра,Сумма,Белоярская,Березовская,Когалымская городская,Кондинская,Лангепасская городская,Мегионская городская,Нефтеюганская,Нефтеюганская городская,Нижневартовская,Нижневартовская городская,Няганьская городская,Октябрьская,Покачевская городская,Пыть-Яхская городская,Радужнинская городская,Советская,Сургутская,Сургутская городская,Урайская городская,Ханты-Мансийская,Ханты-Мансийская городская,Югорская городская
"избирателей, включенных в список избирателей",1130343,17975,16716,43359,23873,27055,39788,35678,76584,23082,170338,41945,25189,11658,28744,28233,36839,88460,269575,28740,16344,55219,24949
"изб.бюллетеней, полученных участковой избирательной комиссией",1095884,18900,17270,39290,23926,27500,40000,36270,62526,24640,176900,40400,23100,11700,29919,27600,36800,81050,257150,28872,17550,49550,24971
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",26633,1605,429,0,35,0,0,9201,0,4517,0,0,963,0,0,0,0,5790,0,0,4093,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",745638,13669,11868,28356,17114,18199,24881,22063,47907,14573,115083,27870,18030,8426,17468,17489,24178,55659,171968,20322,8321,42739,19455
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",15804,322,501,267,898,280,498,350,1008,343,2680,825,593,92,249,256,973,641,2308,484,364,1457,415
"изб.бюллетеней, погашенных",307809,3304,4472,10667,5879,9021,14621,4656,13611,5207,59137,11705,3514,3182,12202,9855,11649,18960,82874,8066,4772,5354,5101
"изб.бюллетеней, в переносных ящиках для голосования",42426,1927,930,267,933,280,498,9551,1008,4860,2679,825,1556,92,249,256,973,6425,2308,484,4456,1454,415
"изб.бюллетеней, в стационарных ящиках для голосования",745474,13669,11868,28349,17113,18195,24876,22059,47900,14571,115073,27868,18029,8426,17468,17479,24173,55645,171910,20317,8319,42734,19433
"изб.бюллетеней, недействительных",10824,165,172,460,267,363,361,184,649,325,1687,383,364,162,352,368,378,1019,1840,327,191,575,232
"изб.бюллетеней, действительных",777076,15431,12626,28156,17779,18112,25013,31426,48259,19106,116065,28310,19221,8356,17365,17367,24768,61051,172378,20474,12584,43613,19616
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3916,71,85,149,106,99,126,67,260,77,625,149,93,40,85,94,122,276,910,104,61,217,100
Грудинин,94785,1474,1298,3662,2317,2586,3566,788,5595,2424,13869,3306,2555,1816,2494,2639,3821,10956,19318,2707,1526,3401,2667
Жириновский,53569,1118,1283,1701,2205,1441,1557,909,3128,1400,8157,2286,1805,538,1180,1149,1973,4465,10798,1860,1292,1946,1378
Путин,600404,12346,9583,21732,12727,13449,19077,29254,37742,14715,89084,21833,14250,5765,13160,12972,18235,43738,134834,15186,9363,36584,14775
Собчак,10884,209,150,353,155,241,287,174,704,220,2050,313,209,75,173,238,244,678,3125,225,145,614,302
Сурайкин,4095,70,88,202,97,100,136,63,280,83,677,135,128,45,85,110,135,338,878,118,65,154,108
Титов,4363,60,66,172,98,95,129,73,241,91,748,138,97,30,77,81,123,270,1179,103,63,295,134
Явлинский,5060,83,73,185,74,101,135,98,309,96,855,150,84,47,111,84,115,330,1336,171,69,402,152
