Чувашская Республика - Чувашия,Сумма,Алатырская,Алатырская городская,Аликовская,Батыревская,Вурнарская,Ибресинская,Канашская,Канашская городская,Козловская,Комсомольская,Красноармейская,Красночетайская,Марпосадская,Моргаушская,Новочебоксарская городская,Порецкая,Урмарская,Цивильская,Чебоксарская,"Чебоксары, Калининская","Чебоксары, Ленинская","Чебоксары, Московская",Шемуршинская,Шумерлинская,Шумерлинская городская,Ядринская,Яльчикская,Янтиковская
"избирателей, включенных в список избирателей",915114,12428,28230,11458,24433,19373,14488,24195,33273,12862,17325,9716,11063,16543,22067,98611,8741,16352,24060,42874,124702,109329,148756,9480,7310,24223,20041,13245,9936
"изб.бюллетеней, полученных участковой избирательной комиссией",921852,13186,25601,13560,27230,20000,16587,24651,34736,13250,18706,10655,12160,18096,22470,100330,9695,19403,23364,44710,121141,102900,139906,10500,8320,25500,21700,13293,10202
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",650661,9790,17122,9597,21932,16359,12071,20444,21381,10560,14801,8378,8625,12515,18099,63663,6635,12954,17995,31140,79801,71148,100972,7910,5498,15383,15806,11561,8521
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",46866,1820,1959,1273,1936,2208,1596,1880,834,1227,1293,882,1422,1556,2512,1898,1502,1476,1891,3212,2529,2111,2670,1076,975,1138,1689,1434,867
"изб.бюллетеней, погашенных",224322,1576,6520,2690,3362,1433,2920,2327,12521,1463,2612,1395,2113,4025,1859,34769,1558,4973,3478,10358,38812,29639,36262,1514,1847,8979,4205,298,814
"изб.бюллетеней, в переносных ящиках для голосования",46862,1820,1959,1273,1936,2208,1596,1880,834,1227,1293,882,1422,1556,2512,1898,1502,1476,1891,3212,2529,2110,2667,1076,975,1138,1689,1434,867
"изб.бюллетеней, в стационарных ящиках для голосования",650552,9790,17120,9597,21929,16359,12070,20444,21380,10560,14801,8377,8625,12515,18098,63650,6634,12954,17993,31138,79787,71108,100944,7910,5498,15383,15806,11561,8521
"изб.бюллетеней, недействительных",9763,72,271,167,371,364,294,304,336,146,234,161,151,262,255,968,142,135,284,546,1142,998,1305,115,105,202,226,92,115
"изб.бюллетеней, действительных",687651,11538,18808,10703,23494,18203,13372,22020,21878,11641,15860,9098,9896,13809,20355,64580,7994,14295,19600,33804,81174,72220,102306,8871,6368,16319,17269,12903,9273
"изб.бюллетеней, утраченных",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Бабурин,3710,41,119,45,59,98,54,72,109,57,63,45,47,88,94,435,30,57,98,154,471,419,735,25,26,89,103,37,40
Грудинин,85780,768,2423,1536,2321,1642,1496,2047,3198,1217,1829,1178,1157,1216,2333,8568,958,1337,2719,4525,10966,10055,15111,802,618,2205,1906,650,999
Жириновский,36890,452,1059,523,591,962,704,1104,1309,625,567,448,476,643,1179,4229,418,744,1145,1892,4965,4123,5284,326,271,955,1157,327,412
Путин,539036,10130,14748,8390,20272,15111,10862,18404,16658,9516,13104,7228,8027,11613,16287,48650,6448,11928,15100,26287,61338,54329,75787,7588,5347,12734,13692,11789,7669
Собчак,9500,48,147,97,119,175,98,144,269,100,127,90,68,108,201,1109,38,88,266,401,1480,1446,2405,59,50,110,167,36,54
Сурайкин,4907,59,170,54,71,98,85,127,150,59,80,46,78,63,114,545,63,73,112,249,745,612,845,43,29,104,131,40,62
Титов,3950,26,69,33,32,73,43,79,87,32,53,38,26,46,88,541,19,48,89,162,620,575,980,14,16,62,62,15,22
Явлинский,3878,14,73,25,29,44,30,43,98,35,37,25,17,32,59,503,20,20,71,134,589,661,1159,14,11,60,51,9,15
